season,game_id,game_date,home_team,away_team,home_pts,away_pts,label,elo_diff,net_rtg_diff,off_rtg_diff,def_rtg_diff,pace_diff,pythagorean_diff,log5_prob,efg_pct_diff,tov_pct_diff,oreb_pct_diff,ft_rate_diff,three_pt_rate_diff,three_pt_pct_diff,ts_pct_diff,ast_pct_diff,stl_pct_diff,blk_pct_diff,team_10d_net_rtg_diff,team_10d_off_rtg_diff,momentum_diff,rest_days_diff,b2b_home,b2b_away,travel_tz_shift_home,travel_tz_shift_away,is_home,altitude_factor,star_player_impact_diff,injury_impact_diff,lineup_net_rtg_diff,bench_net_rtg_diff,clutch_net_rtg_diff,h2h_season_record,vegas_home_prob,mc_win_pct
2018-19,0021800229,2018-11-17,BOS,UTA,86.0,98.0,0,58.14,1.0,-0.559,-1.559,0.125,0.0018,0.6316,-0.0077,-0.0178,-0.0202,-0.131,0.0232,0.0338,-0.0129,0.0009,-0.6901,-0.0459,0.816,3.424,-0.184,0,1,1,0,1,1,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.6221
2018-19,0021800226,2018-11-17,IND,ATL,97.0,89.0,1,193.02,11.648,5.723,-5.925,-8.029,0.0191,0.8571,0.0297,-0.0299,-0.0349,-0.0261,-0.1068,0.0488,0.0211,-0.0754,0.9917,0.1403,11.61,4.254,-0.038,-1,1,0,0,1,1,0.0,0.0,0.0,5.824,0.0,0.0,0.5,0.0,0.8274
2018-19,0021800228,2018-11-17,NOP,DEN,125.0,115.0,1,-20.24,-9.574,0.382,9.956,5.805,-0.042,0.3636,0.0102,0.0025,-0.0118,0.0129,-0.0212,0.019,0.0081,-0.0014,-2.2932,0.6828,-14.171,-2.666,-4.596,-1,1,0,0,1,1,0.0,0.0,0.0,-4.787,0.0,0.0,0.5,0.0,0.4224
2018-19,0021800230,2018-11-17,CHI,TOR,83.0,122.0,0,-241.27,-18.947,-11.298,7.65,-0.375,-0.0417,0.1,-0.0418,0.0051,-0.0518,-0.0061,-0.0349,0.0212,-0.0407,-0.0055,-1.4972,-0.3409,-19.147,-12.375,-0.199,0,1,1,0,1,1,0.0,0.0,0.0,-9.474,0.0,0.0,0.5,0.0,0.1964
2018-19,0021800236,2018-11-18,ORL,NYK,131.0,117.0,1,97.4,-1.352,1.906,3.258,-2.925,-0.0014,0.75,0.0251,-0.0128,-0.0386,-0.067,0.0283,0.0332,0.0135,0.1559,-0.0038,1.2323,0.792,4.264,2.143,-1,1,0,0,1,1,0.0,0.0,0.0,-0.676,0.0,0.0,0.5,0.0,0.6074
2018-19,0021800237,2018-11-18,WAS,POR,109.0,119.0,0,-176.72,-4.063,-5.176,-1.113,1.467,-0.0122,0.2,-0.0132,-0.0035,-0.0089,0.0699,0.0144,-0.0499,-0.0127,0.077,2.3651,1.3226,-3.492,-3.027,0.571,0,0,0,0,1,1,0.0,0.0,0.0,-2.031,0.0,0.0,0.5,0.0,0.3835
2018-19,0021800235,2018-11-18,MIA,LAL,97.0,113.0,0,-85.38,-0.412,-3.836,-3.424,-2.365,-0.004,0.3684,-0.0256,0.0136,0.0171,0.0549,0.0455,0.0077,-0.0183,0.0011,-1.8035,0.7142,-2.963,-1.817,-2.551,1,0,1,0,1,1,0.0,0.0,0.0,-0.206,0.0,0.0,0.5,0.0,0.5041
2018-19,0021800247,2018-11-19,SAC,OKC,117.0,113.0,1,-74.7,-15.569,0.06,15.628,2.391,-0.0652,0.3333,0.0328,0.0043,-0.054,-0.0405,-0.0302,0.0549,0.0203,0.0417,-2.6075,-1.2287,-20.964,-6.266,-5.396,0,0,0,0,1,1,0.0,0.0,0.0,-7.784,0.0,0.0,0.5,0.0,0.3307
2018-19,0021800241,2018-11-19,IND,UTA,121.0,94.0,1,-17.27,1.753,-0.264,-2.017,-1.13,0.0039,0.625,0.0178,-0.004,-0.0377,-0.0994,-0.0931,0.0559,0.0062,-0.0576,0.515,0.235,-2.954,-3.182,-4.708,0,0,0,0,1,1,0.0,0.0,0.0,0.877,0.0,0.0,0.5,0.0,0.5857
2018-19,0021800243,2018-11-19,ATL,LAC,119.0,127.0,0,-257.74,-9.221,-11.927,-2.707,1.955,-0.0175,0.1034,-0.0271,0.0344,0.0222,-0.0582,0.1126,-0.0608,-0.0441,0.087,3.0145,0.0686,-12.074,-13.11,-2.853,0,0,0,0,1,1,0.0,0.0,0.0,-4.61,0.0,0.0,0.5,0.0,0.2637
2018-19,0021800239,2018-11-19,CHA,BOS,117.0,112.0,1,-38.66,4.83,5.957,1.127,3.45,0.0203,0.405,0.0199,-0.0121,0.0122,0.0233,-0.0315,0.0125,0.0259,-0.0139,-0.8478,0.8418,4.125,3.463,-0.706,0,0,0,0,1,1,0.0,0.0,0.0,2.415,0.0,0.0,0.5,0.0,0.6169
2018-19,0021800246,2018-11-19,NOP,SAS,140.0,126.0,1,72.91,-0.206,4.188,4.393,5.916,0.0027,0.5294,0.0387,0.021,-0.004,0.051,0.0284,-0.0135,0.0338,0.0451,0.1625,1.2727,-2.502,5.539,-2.296,1,0,1,0,1,1,0.0,0.0,0.0,-0.103,0.0,0.0,0.5,0.0,0.6119
2018-19,0021800244,2018-11-19,MEM,DAL,98.0,88.0,1,94.18,4.117,-1.842,-5.959,-5.475,0.0106,0.6957,-0.0222,-0.0287,-0.016,0.018,-0.0527,0.0112,-0.0192,0.0467,2.9339,-0.1334,5.478,-0.296,1.361,-1,1,0,0,1,1,0.0,0.0,0.0,2.059,0.0,0.0,0.5,0.0,0.6897
2018-19,0021800242,2018-11-19,PHI,PHX,119.0,114.0,1,229.34,7.712,5.483,-2.229,4.802,0.0077,0.8627,-0.0029,-0.0209,0.0126,0.0932,-0.004,0.0078,0.0056,0.0308,-0.9652,1.749,5.382,8.189,-2.33,0,0,0,0,1,1,0.0,0.0,0.0,3.856,0.0,0.0,0.5,0.0,0.7967
2018-19,0021800245,2018-11-19,MIL,DEN,104.0,98.0,1,123.28,-8.892,4.268,13.16,4.882,-0.0322,0.6226,0.044,0.0072,-0.0515,-0.0349,0.1076,0.0328,0.0392,-0.0103,-2.0236,1.3677,-9.993,4.254,-1.101,1,0,0,0,1,1,0.0,0.0,0.0,-4.446,0.0,0.0,0.5,0.0,0.5155
2018-19,0021800248,2018-11-20,ORL,TOR,91.0,93.0,0,-130.16,-7.671,-6.117,1.554,-2.696,-0.0318,0.2571,-0.0308,-0.0108,0.0034,-0.0391,-0.017,0.0101,-0.0361,0.0705,-1.4659,0.528,-4.762,-0.368,2.909,-1,0,0,0,1,1,0.0,0.0,0.0,-3.836,0.0,0.0,0.5,0.0,0.3669
2018-19,0021800250,2018-11-20,MIA,BKN,92.0,104.0,0,-33.88,-4.911,-3.565,1.346,2.896,-0.0168,0.4615,-0.0054,0.0194,-0.0277,0.0195,-0.01,0.0181,-0.0039,-0.015,-0.4027,2.0782,-14.266,-5.678,-9.355,-1,0,0,0,1,1,0.0,0.0,0.0,-2.455,0.0,0.0,0.5,0.0,0.4726
2018-19,0021800249,2018-11-20,WAS,LAC,125.0,118.0,1,-208.67,-3.486,-5.213,-1.727,-1.358,-0.0103,0.1712,-0.0127,0.0021,0.0169,-0.0283,0.0771,-0.059,-0.0239,0.0285,2.5887,0.7634,0.556,-4.311,4.042,1,0,1,0,1,1,0.0,0.0,0.0,-1.743,0.0,0.0,0.5,0.0,0.3706
2018-19,0021800251,2018-11-20,NYK,POR,114.0,118.0,0,-233.33,-0.618,-7.464,-6.847,0.48,-0.0069,0.1227,-0.0379,0.0004,0.053,0.0055,-0.0331,-0.0488,-0.0433,-0.0346,1.8253,0.1192,-3.089,-4.77,-2.471,0,0,0,0,1,1,0.0,0.0,0.0,-0.309,0.0,0.0,0.5,0.0,0.3989
2018-19,0021800253,2018-11-21,PHI,NOP,121.0,120.0,1,4.04,-8.201,-5.718,2.483,-0.123,-0.0212,0.5455,-0.0215,0.0184,-0.0399,0.0602,0.0655,-0.0127,-0.01,0.0427,-0.2519,-0.3525,-8.522,-4.456,-0.321,0,0,0,0,1,1,0.0,0.0,0.0,-4.1,0.0,0.0,0.5,0.0,0.4547
